f1	f2	f3	order	values
condA	grup1	trat1	1	600
condA	grup1	trat1	1	600
condA	grup1	trat1	1	600
condA	grup1	trat1	1	600
condA	grup1	trat1	1	600
condA	grup1	trat1	1	600
condA	grup1	trat1	1	600
condA	grup1	trat1	1	600
condA	grup1	trat1	1	600
condA	grup1	trat1	1	600
condA	grup1	trat1	2	595.3
condA	grup1	trat1	2	567.7
condA	grup1	trat1	2	568.8
condA	grup1	trat1	2	542.8
condA	grup1	trat1	2	573.8
condA	grup1	trat1	2	581.2
condA	grup1	trat1	2	577.5
condA	grup1	trat1	2	562
condA	grup1	trat1	2	576.1
condA	grup1	trat1	3	408.7
condA	grup1	trat1	3	404.5
condA	grup1	trat1	3	415.5
condA	grup1	trat1	3	417.7
condA	grup1	trat1	3	426.6
condA	grup1	trat1	3	433.4
condA	grup1	trat1	3	410.4
condA	grup1	trat1	3	451.4
condA	grup1	trat1	3	493.3
condA	grup1	trat1	3	467.5
condA	grup1	trat1	4	440.9
condA	grup1	trat1	4	322.8
condA	grup1	trat1	4	474.3
condA	grup1	trat1	4	315.8
condA	grup1	trat1	4	414.1
condA	grup1	trat1	4	392.5
condA	grup1	trat1	4	356
condA	grup1	trat1	4	373.2
condA	grup1	trat1	4	352.9
condA	grup1	trat1	4	360.4
condA	grup1	trat1	5	293.5
condA	grup1	trat1	5	409.7
condA	grup1	trat1	5	279.8
condA	grup1	trat1	5	331
condA	grup1	trat1	5	521.3
condA	grup1	trat1	5	307.8
condA	grup1	trat1	5	374.8
condA	grup1	trat1	5	384
condA	grup1	trat1	5	413.8
condA	grup1	trat1	5	369.3
condA	grup2	trat1	1	600
condA	grup2	trat1	1	600
condA	grup2	trat1	1	600
condA	grup2	trat1	1	600
condA	grup2	trat1	1	600
condA	grup2	trat1	1	600
condA	grup2	trat1	1	600
condA	grup2	trat1	1	600
condA	grup2	trat1	1	600
condA	grup2	trat1	1	600
condA	grup2	trat1	2	477.5
condA	grup2	trat1	2	526.2
condA	grup2	trat1	2	462.4
condA	grup2	trat1	2	445.3
condA	grup2	trat1	2	482.9
condA	grup2	trat1	2	470.8
condA	grup2	trat1	2	484.7
condA	grup2	trat1	2	483
condA	grup2	trat1	2	514.5
condA	grup2	trat1	2	489
condA	grup2	trat1	3	355
condA	grup2	trat1	3	452.4
condA	grup2	trat1	3	324.7
condA	grup2	trat1	3	226
condA	grup2	trat1	3	365.8
condA	grup2	trat1	3	341.6
condA	grup2	trat1	3	369.4
condA	grup2	trat1	3	365.9
condA	grup2	trat1	3	429
condA	grup2	trat1	3	377.9
condA	grup2	trat1	4	270.2
condA	grup2	trat1	4	386.9
condA	grup2	trat1	4	379.9
condA	grup2	trat1	4	432.3
condA	grup2	trat1	4	285.5
condA	grup2	trat1	4	287.5
condA	grup2	trat1	4	403.5
condA	grup2	trat1	4	279.3
condA	grup2	trat1	4	383
condA	grup2	trat1	4	374.8
condA	grup2	trat1	5	270
condA	grup2	trat1	5	277.4
condA	grup2	trat1	5	229.8
condA	grup2	trat1	5	280.1
condA	grup2	trat1	5	309.1
condA	grup2	trat1	5	224
condA	grup2	trat1	5	271.9
condA	grup2	trat1	5	257.6
condA	grup2	trat1	5	373.9
condA	grup2	trat1	5	341.6
condA	grup3	trat1	1	600
condA	grup3	trat1	1	600
condA	grup3	trat1	1	600
condA	grup3	trat1	1	600
condA	grup3	trat1	1	600
condA	grup3	trat1	1	600
condA	grup3	trat1	1	600
condA	grup3	trat1	1	600
condA	grup3	trat1	1	600
condA	grup3	trat1	1	600
condA	grup3	trat1	2	519.4
condA	grup3	trat1	2	526.6
condA	grup3	trat1	2	554.4
condA	grup3	trat1	2	515
condA	grup3	trat1	2	520.7
condA	grup3	trat1	2	514.5
condA	grup3	trat1	2	500.3
condA	grup3	trat1	2	538.7
condA	grup3	trat1	2	527.1
condA	grup3	trat1	2	526.9
condA	grup3	trat1	3	497.3
condA	grup3	trat1	3	483.2
condA	grup3	trat1	3	524.6
condA	grup3	trat1	3	521.5
condA	grup3	trat1	3	500.4
condA	grup3	trat1	3	497.1
condA	grup3	trat1	3	499.4
condA	grup3	trat1	3	499.5
condA	grup3	trat1	3	489.1
condA	grup3	trat1	3	474.4
condA	grup3	trat1	4	337.1
condA	grup3	trat1	4	342.2
condA	grup3	trat1	4	360.5
condA	grup3	trat1	4	391
condA	grup3	trat1	4	393.7
condA	grup3	trat1	4	395.8
condA	grup3	trat1	4	404.6
condA	grup3	trat1	4	403.6
condA	grup3	trat1	4	383.3
condA	grup3	trat1	4	542.6
condA	grup3	trat1	5	380.3
condA	grup3	trat1	5	385.4
condA	grup3	trat1	5	312.9
condA	grup3	trat1	5	455.9
condA	grup3	trat1	5	311.5
condA	grup3	trat1	5	338.6
condA	grup3	trat1	5	264.1
condA	grup3	trat1	5	366
condA	grup3	trat1	5	339
condA	grup3	trat1	5	368
condB	grup1	trat1	1	600
condB	grup1	trat1	1	600
condB	grup1	trat1	1	600
condB	grup1	trat1	1	600
condB	grup1	trat1	1	600
condB	grup1	trat1	1	600
condB	grup1	trat1	1	600
condB	grup1	trat1	1	600
condB	grup1	trat1	1	600
condB	grup1	trat1	1	600
condB	grup1	trat1	2	548.2
condB	grup1	trat1	2	561.1
condB	grup1	trat1	2	545.8
condB	grup1	trat1	2	535
condB	grup1	trat1	2	591.9
condB	grup1	trat1	2	578.1
condB	grup1	trat1	2	568.8
condB	grup1	trat1	2	565.8
condB	grup1	trat1	2	568.7
condB	grup1	trat1	2	523
condB	grup1	trat1	3	365.9
condB	grup1	trat1	3	343.4
condB	grup1	trat1	3	388.8
condB	grup1	trat1	3	478.3
condB	grup1	trat1	3	382.5
condB	grup1	trat1	3	461.8
condB	grup1	trat1	3	373.8
condB	grup1	trat1	3	222.2
condB	grup1	trat1	3	366.6
condB	grup1	trat1	3	392.2
condB	grup1	trat1	4	345.2
condB	grup1	trat1	4	272.8
condB	grup1	trat1	4	329.5
condB	grup1	trat1	4	467.5
condB	grup1	trat1	4	431.1
condB	grup1	trat1	4	321.6
condB	grup1	trat1	4	277.5
condB	grup1	trat1	4	365.8
condB	grup1	trat1	4	435.6
condB	grup1	trat1	4	330
condB	grup1	trat1	5	229.6
condB	grup1	trat1	5	305.7
condB	grup1	trat1	5	310.1
condB	grup1	trat1	5	317.6
condB	grup1	trat1	5	265.9
condB	grup1	trat1	5	306.2
condB	grup1	trat1	5	284.6
condB	grup1	trat1	5	297.4
condB	grup1	trat1	5	426.7
condB	grup1	trat1	5	278.9
condB	grup2	trat1	1	600
condB	grup2	trat1	1	600
condB	grup2	trat1	1	600
condB	grup2	trat1	1	600
condB	grup2	trat1	1	600
condB	grup2	trat1	1	600
condB	grup2	trat1	1	600
condB	grup2	trat1	1	600
condB	grup2	trat1	1	600
condB	grup2	trat1	1	600
condB	grup2	trat1	2	452.7
condB	grup2	trat1	2	423.7
condB	grup2	trat1	2	511
condB	grup2	trat1	2	444.5
condB	grup2	trat1	2	523.4
condB	grup2	trat1	2	467.4
condB	grup2	trat1	2	477.7
condB	grup2	trat1	2	389.1
condB	grup2	trat1	2	530.1
condB	grup2	trat1	2	478.1
condB	grup2	trat1	3	305.3
condB	grup2	trat1	3	247.4
condB	grup2	trat1	3	421.9
condB	grup2	trat1	3	289
condB	grup2	trat1	3	446.8
condB	grup2	trat1	3	334.7
condB	grup2	trat1	3	355.3
condB	grup2	trat1	3	178.1
condB	grup2	trat1	3	460.1
condB	grup2	trat1	3	356.2
condB	grup2	trat1	4	365.2
condB	grup2	trat1	4	124
condB	grup2	trat1	4	235.8
condB	grup2	trat1	4	136.9
condB	grup2	trat1	4	188.5
condB	grup2	trat1	4	404.9
condB	grup2	trat1	4	179.3
condB	grup2	trat1	4	302.3
condB	grup2	trat1	4	231.4
condB	grup2	trat1	4	175.1
condB	grup2	trat1	5	243.4
condB	grup2	trat1	5	145.6
condB	grup2	trat1	5	146.1
condB	grup2	trat1	5	148.7
condB	grup2	trat1	5	287.9
condB	grup2	trat1	5	226
condB	grup2	trat1	5	241.7
condB	grup2	trat1	5	86.5
condB	grup2	trat1	5	250.9
condB	grup2	trat1	5	195.2
condB	grup3	trat1	1	600
condB	grup3	trat1	1	600
condB	grup3	trat1	1	600
condB	grup3	trat1	1	600
condB	grup3	trat1	1	600
condB	grup3	trat1	1	600
condB	grup3	trat1	1	600
condB	grup3	trat1	1	600
condB	grup3	trat1	1	600
condB	grup3	trat1	1	600
condB	grup3	trat1	2	479.8
condB	grup3	trat1	2	468.6
condB	grup3	trat1	2	524.2
condB	grup3	trat1	2	492.9
condB	grup3	trat1	2	465
condB	grup3	trat1	2	466.9
condB	grup3	trat1	2	507.4
condB	grup3	trat1	2	468.9
condB	grup3	trat1	2	505.4
condB	grup3	trat1	2	486.7
condB	grup3	trat1	3	480.7
condB	grup3	trat1	3	473.4
condB	grup3	trat1	3	513.8
condB	grup3	trat1	3	473.6
condB	grup3	trat1	3	448.6
condB	grup3	trat1	3	500.5
condB	grup3	trat1	3	314
condB	grup3	trat1	3	459
condB	grup3	trat1	3	412
condB	grup3	trat1	3	461.3
condB	grup3	trat1	4	343.5
condB	grup3	trat1	4	370.8
condB	grup3	trat1	4	382
