bloc	trat	dose	val
blocA	tratA	0.25	0.364782494
blocA	tratA	0.25	0.484327375
blocA	tratA	0.25	0.440922886
blocA	tratA	0.25	1.375648636
blocA	tratA	0.25	1.586750614
blocA	tratA	0.25	1.410867676
blocA	tratA	0.25	0.460297647
blocA	tratA	0.25	0.212481296
blocA	tratA	0.25	1.248205613
blocA	tratA	0.25	0.599708295
blocA	tratA	0.5	0.090950612
blocA	tratA	0.5	1.59198082
blocA	tratA	0.5	0.214544544
blocA	tratA	0.5	2.722689536
blocA	tratA	0.5	1.461955513
blocA	tratA	0.5	0.44071625
blocA	tratA	0.5	0.77679831
blocA	tratA	0.5	1.256600602
blocA	tratA	0.5	0.402912019
blocA	tratA	0.5	1.968231087
blocA	tratA	1	0.093383769
blocA	tratA	1	0.514811071
blocA	tratA	1	1.523284846
blocA	tratA	1	1.00027037
blocA	tratA	1	0.54873399
blocA	tratA	1	1.532206799
blocA	tratA	1	0.274004679
blocA	tratA	1	0.55499681
blocA	tratA	1	0.831046255
blocA	tratA	1	0.288458199
blocA	tratA	2	0.447675196
blocA	tratA	2	0.258501676
blocA	tratA	2	1.160073716
blocA	tratA	2	0.53931336
blocA	tratA	2	1.771431281
blocA	tratA	2	0.089862296
blocA	tratA	2	0.535997517
blocA	tratA	2	0.000277115
blocA	tratA	2	0.933414679
blocA	tratA	2	0.427510927
blocA	tratA	4	0.323494594
blocA	tratA	4	0.717736971
blocA	tratA	4	1.100926624
blocA	tratA	4	0.969958983
blocA	tratA	4	0.568375558
blocA	tratA	4	0.455694531
blocA	tratA	4	0.851288213
blocA	tratA	4	0.026123472
blocA	tratA	4	0.314140817
blocA	tratA	4	0.738421985
blocA	tratB	0.25	2.152400151
blocA	tratB	0.25	0.766853441
blocA	tratB	0.25	0.889039376
blocA	tratB	0.25	0.856455365
blocA	tratB	0.25	0.031455663
blocA	tratB	0.25	0.165259067
blocA	tratB	0.25	0.777147327
blocA	tratB	0.25	0.583679372
blocA	tratB	0.25	0.114568687
blocA	tratB	0.25	1.091841765
blocA	tratB	0.5	0.316450616
blocA	tratB	0.5	0.598771058
blocA	tratB	0.5	0.887094409
blocA	tratB	0.5	0.520656014
blocA	tratB	0.5	1.412832679
blocA	tratB	0.5	0.040571551
blocA	tratB	0.5	0.27306473
blocA	tratB	0.5	0.328556235
blocA	tratB	0.5	0.896309559
blocA	tratB	0.5	0.525044895
blocA	tratB	1	0.120412018
blocA	tratB	1	1.915560697
blocA	tratB	1	0.455799912
blocA	tratB	1	0.813159533
blocA	tratB	1	1.468168554
blocA	tratB	1	1.588530958
blocA	tratB	1	0.401481828
blocA	tratB	1	0.790578967
blocA	tratB	1	0.627027511
blocA	tratB	1	1.080392652
blocA	tratB	2	0.940762247
blocA	tratB	2	0.776744097
blocA	tratB	2	0.684173761
blocA	tratB	2	1.048311057
blocA	tratB	2	0.666708045
blocA	tratB	2	0.169688484
blocA	tratB	2	1.241222722
blocA	tratB	2	1.514352155
blocA	tratB	2	0.273825371
blocA	tratB	2	0.835941473
blocA	tratB	4	0.401243769
blocA	tratB	4	2.995254785
blocA	tratB	4	0.702670316
blocA	tratB	4	0.128681419
blocA	tratB	4	0.877283656
blocA	tratB	4	0.363877994
blocA	tratB	4	0.418914862
blocA	tratB	4	1.7079935
blocA	tratB	4	1.193171167
blocA	tratB	4	0.904820865
blocA	tratC	0.25	0.798834109
blocA	tratC	0.25	0.161791258
blocA	tratC	0.25	0.112489358
blocA	tratC	0.25	0.456080192
blocA	tratC	0.25	0.443204541
blocA	tratC	0.25	0.839219644
blocA	tratC	0.25	0.924789935
blocA	tratC	0.25	0.101865825
blocA	tratC	0.25	0.096516675
blocA	tratC	0.25	0.600351996
blocA	tratC	0.5	1.403338686
blocA	tratC	0.5	0.733263391
blocA	tratC	0.5	1.188841715
blocA	tratC	0.5	0.107709805
blocA	tratC	0.5	1.055840614
blocA	tratC	0.5	0.363393336
blocA	tratC	0.5	0.046633154
blocA	tratC	0.5	0.130346097
blocA	tratC	0.5	0.309026282
blocA	tratC	0.5	0.561222006
blocA	tratC	1	0.103614323
blocA	tratC	1	1.526709259
blocA	tratC	1	0.27675164
blocA	tratC	1	0.126944796
blocA	tratC	1	0.07117403
blocA	tratC	1	0.829116155
blocA	tratC	1	2.222433115
blocA	tratC	1	0.537106282
blocA	tratC	1	0.69153776
blocA	tratC	1	2.466970338
blocA	tratC	2	0.03008437
blocA	tratC	2	0.773363969
blocA	tratC	2	0.117217932
blocA	tratC	2	1.15448841
blocA	tratC	2	0.07813933
blocA	tratC	2	0.628502951
blocA	tratC	2	0.258784568
blocA	tratC	2	0.803900413
blocA	tratC	2	1.018879739
blocA	tratC	2	0.325434438
blocA	tratC	4	0.90766985
blocA	tratC	4	0.294897558
blocA	tratC	4	0.039993585
blocA	tratC	4	0.463697132
blocA	tratC	4	0.473541287
blocA	tratC	4	0.274233917
blocA	tratC	4	0.75600649
blocA	tratC	4	0.26073512
blocA	tratC	4	0.770971143
blocA	tratC	4	1.503455444
blocA	tratD	0.25	1.11090658
blocA	tratD	0.25	2.327118036
blocA	tratD	0.25	0.282209228
blocA	tratD	0.25	0.09896789
blocA	tratD	0.25	0.252673303
blocA	tratD	0.25	1.759713409
blocA	tratD	0.25	0.812875467
blocA	tratD	0.25	0.435600071
blocA	tratD	0.25	1.032618983
blocA	tratD	0.25	1.397787353
blocA	tratD	0.5	1.020765291
blocA	tratD	0.5	2.58473723
blocA	tratD	0.5	0.931649745
blocA	tratD	0.5	0.543012154
blocA	tratD	0.5	0.689077366
blocA	tratD	0.5	1.092699818
blocA	tratD	0.5	0.787260235
blocA	tratD	0.5	0.805449532
blocA	tratD	0.5	0.834492534
blocA	tratD	0.5	1.807008232
blocA	tratD	1	1.04020994
blocA	tratD	1	1.079521452
blocA	tratD	1	0.387644196
blocA	tratD	1	0.633520422
blocA	tratD	1	1.69690527
blocA	tratD	1	0.655615986
blocA	tratD	1	0.613751975
blocA	tratD	1	0.19306507
blocA	tratD	1	0.235838406
blocA	tratD	1	0.573464357
blocA	tratD	2	0.219910397
blocA	tratD	2	0.742990529
blocA	tratD	2	0.835291362
blocA	tratD	2	0.054778553
blocA	tratD	2	0.277809867
blocA	tratD	2	0.153330594
blocA	tratD	2	0.481530002
blocA	tratD	2	0.254072898
blocA	tratD	2	1.455659452
blocA	tratD	2	1.598215372
blocA	tratD	4	0.335308695
blocA	tratD	4	1.266430156
blocA	tratD	4	0.606276713
blocA	tratD	4	0.375000162
blocA	tratD	4	1.626409712
blocA	tratD	4	0.64283986
blocA	tratD	4	0.685252701
blocA	tratD	4	1.57997036
blocA	tratD	4	0.414417735
blocA	tratD	4	0.32256764
blocA	tratE	0.25	0.841192681
blocA	tratE	0.25	1.222738962
blocA	tratE	0.25	0.234800428
blocA	tratE	0.25	0.352099236
blocA	tratE	0.25	0.696589621
blocA	tratE	0.25	0.317037267
blocA	tratE	0.25	0.283314657
blocA	tratE	0.25	1.062204249
blocA	tratE	0.25	0.392559314
blocA	tratE	0.25	1.260422524
blocA	tratE	0.5	1.569256156
blocA	tratE	0.5	0.210881882
blocA	tratE	0.5	0.487535821
blocA	tratE	0.5	1.728163724
blocA	tratE	0.5	1.636333907
blocA	tratE	0.5	0.065360484
blocA	tratE	0.5	0.814055932
blocA	tratE	0.5	1.017306892
blocA	tratE	0.5	0.659037115
blocA	tratE	0.5	0.370527841
blocA	tratE	1	0.025004071
blocA	tratE	1	1.46507442
blocA	tratE	1	1.020148706
blocA	tratE	1	2.840701828
blocA	tratE	1	0.678886003
blocA	tratE	1	0.283968922
blocA	tratE	1	1.734104453
blocA	tratE	1	0.059399088
blocA	tratE	1	1.673480497
blocA	tratE	1	0.975285076
blocA	tratE	2	0.299459166
blocA	tratE	2	0.781379568
blocA	tratE	2	1.357191233
blocA	tratE	2	0.036247548
blocA	tratE	2	0.310239704
blocA	tratE	2	1.398126347
blocA	tratE	2	0.843207657
blocA	tratE	2	0.089062257
blocA	tratE	2	1.229091942
